PARAMETROS	UNIDAD_ORG	RESPUESTA

REMITE VOUCHER DE CANCELACIÓN N° 01134996-5-P, REFERENTE AL CASO N°254-2020MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/02 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE LOENCIO PRADO/CASO N° 2006064502-2019-1417-0/INVESTIGADO  JUAN CARLOS ROJAS TELLOMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

DELITO DE PELIGRO COMÚN EN LA MODALIDAD DE CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/05 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014505-2020-57-0/INVESTIGADO ALBERTO EUSTAQUIO CASIO RAYMUNDOMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/01 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014501-2019-1576-0/INVESTIGADO CLETO MARIÑO SOTO ONOFREMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

NOTIFICA DISPOSICIÓN , REFERENTE AL CASO N° 3006064501-2020-277-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/01 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014501-2018-1235-0/INVESTIGADO GHERLY ISIDRO CAYETANOMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE DISPOSICIÓN N° 003-2020, ABSTENCIÓN DEL EJERCICIO DE LA ACCIÓN PENAL (CASO NRO. 2506014502-2018-2841-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE DISPOSICIÓN N° 002-2020, ABSTENCIÓN DEL EJERCICIO DE LA ACCIÓN PENAL (CASO NRO. 2506014502-2018-2512-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

"LESIONES CULPOSAS / CONDUCCIÓN EN ESTADO DE EBRIEDAD 

CASO Nº 2606104500-2019-215-0MINISTERIO PUBLICO"	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE DISPOSICIÓN FISCAL N° 01, ABSTENCIÓN DEL EJERCICIO DE LA ACCIÓN PENAL (CASO NRO. 2506014503-2019-283-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE EL DISPOSITIVO LEGAL QUE HA SIDO PROMULGADO POR EL SR. PRESIDENTE DE LA REPÚBLICA Y PUBLICADO EN EL DIARIO EL PERUANO. DS. N° 040-2019-MTC.PCM	SECRETARIA GENERAL	SÉ TOMO CONOCIMIENTO, SE ARCHIVA Y SE SOCIALIZÓ CON TODA LA DGAAM

FISCALÍA PROVINCIAL PENAL DE CANAS. CASO N°1806054501-2019-448-0, REMITE DISPOSICIÓN DE ACUMULACION DE CASOS N°02-2019-MP-FPP-CANASMINISTERIO PUBLICO	DIRECCION GENERAL DE FISCALIZACIONES Y SANCIONES EN COMUNICACIONES-(NUEVO-ROF)	SE REGISTRA EN BASE DE DATOS Y SE ANEXA A LAS CARPETAS N° 78 Y 79

COMUNICAN PROGRAMACION DE REUNIONES DE SUBGRUPO N °1 INVERSIONES Y DESARROLLO DE LA MESA DE DIALOGO POR EL DESARROLLO SOSTENIBLE DE LA PROVINCIA DE ESPINAR. SE LLEVARA A CABO EL 12.02.2020PCM	SECRETARIA GENERAL	SE TOMO CONOCIMIENTO, PARTICIPARA EN DICHA REUNIÓN HERMES CAHUANA DE LA ODGS.

2°FISCALÍA PROVINCIAL PENAL DE AZANGARO. CASO N°2706024502-2019-878-0, REMITE DISPOSICIÓN FISCAL N°01-2019-MP-DJP-2FPPC-A.MINISTERIO PUBLICO	DIRECCION GENERAL DE FISCALIZACIONES Y SANCIONES EN COMUNICACIONES-(NUEVO-ROF)	SE ACTUALIZO BASE Y SE  ANEXO A LA CARPETA N° 146

CUARTA FISCALIA PROVINCIAL PENAL CORPORATIVA -HUANUCO: SOLICITA SE REMITA LA RELACION DE EMISORAS RADIALES AUTORIZADAS PAR ALA RADIODIFUSION EN FRECUENCIA MODULADA FM EN EL DEPARTAMENTO DE HUANUCO. MINISTERIO PUBLICO	DIRECCION GENERAL DE AUTORIZACIONES EN TELECOMUNICACIONES	CON OFICIO 397-2020-MTC/28.01 (31/01/2020) SE ATENDIÓ LA INFORMACIÓN SOLICITADA.. RECEPCIONADO 07/02/2020

7° FISCALÍA PROVINCIAL PENAL CORPORATIVA DE SAN JUAN DE LURIGANCHO. SOLICITA HISTORIAL DE LICENCIAS DE CONDUCIR EXPEDIDAS AL PROCESADO DANIEL WALTER OTAROLA UCAÑAN ENTRE OTRA INFORMACIÓN EN RELACION AL CASO 2019-685MINISTERIO PUBLICO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE ATENDIÓ.

FISCALIA ESPECIALIZADA EN MATERIA AMBIENTAL DISTRITO FISCAL DE AREQUIPA:  SOLICITA SE INFORME RESPECTO AL DELITO DE TRAFICO ILEGAL DE RESIDUOS PELIGROSO  SEGUIDO CONTRA LA MEPRESA METPLAST C&J EIRLMINISTERIO PUBLICO	DIRECCION GENERAL DE ASUNTOS AMBIENTALES-(NUEVO-ROF)	SE ATENDIÓ CON OFICIO N°0531-2020-MTC/16

FISCALIA ESPECIALIZADA EN MATERIA AMBIENTAL DISTRITO FISCAL DE LIMA:  SOLICITA LA PARTICIPACION EN LA INSPECCION FISCAL PROGRAMADA PAR ALE DIA 27.01.2020 CON REPRESENTANTES DE LA MUNICIPALIDAD DISTRITAL DE JESUS MARIA Y OTROS EN RELACION DE PREVENCION DE DELITOS AMBIENTALES POR PRESUNTA INSTALACION DE ANTENA DE TELECOMUNICACIONES. MINISTERIO PUBLICO	DIRECCION GENERAL DE FISCALIZACIONES Y SANCIONES EN COMUNICACIONES-(NUEVO-ROF)	NULL

NOTIFICA DISPOSICIÓN N° 02, REFERENTE AL CASO N° 3006014504-2019-322-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE ACTA DE AUDIENCIA DE APLICACIÓN DEL PRINCIPIO DE OPORTUNIDAD (CASO NRO. 2506014502-2019-2545-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

"LESIONES / CONDUCCIÓN EN ESTADO DE EBRIEDAD 

CASO Nº 2606104500-2019-208-0MINISTERIO PUBLICO"	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

FISCALIA PROVINCIAL PENAL CORPORATIVA DE TACNA: SOLICITA INFORMAR SI LA SRA. PATRICIA VERONICA DIAZ UBILLUZ OSTENTO CARGO DE DIRECTORA GENERAL DE LA DIRECCION GENERAL DE FISCALIZACION Y SANCIONES EN COMUNICACIONES EN EL PERIODO DE 01.09 AL 31.10.2019  Y OTROS. REF CASO N° 2906014500-2019-7811-0MINISTERIO PUBLICO	SECRETARIA GENERAL	"LUCIO CUTIPA 

FISCAL  PROVINCIAL PENAL

4TO JUZGADO  DE INVESTIGACION TACNA

MINISTERIO PUBLICO"

REF: CARPETA FISCAL N °466-2019, SOLIICTA SE REMITA COPIAS CERTIFICADAS DEL PROCEDIMIENTO SANCIONADOR INICIADO A LA PERSONA DE HELSON HERBERT MILLARES MENDOZA Y SU ESTACION RADIAL DENOMINADA RADIO D UBICADA EN DESAGUADERO REF: OFICIO N °2906-2019-MTC/28.01MINISTERIO PUBLICO	DIRECCION GENERAL DE AUTORIZACIONES EN TELECOMUNICACIONES	ATENDIDO CON OFICIO Nº 0087-2020-MTC/29.03 DE FECHA 29.01.2020 EL CUAL SERA REMITIDO AL SR. VGOMERO PARA SU RESPECTIVA NOTIFICACION A TRAVES DE LA OACYGD

4TA FISCALIA DESPACHO DE INVESTIGACION DE LA FISCALIA PROVINCIAL PENAL CORPORATIVA DE TACNA: REF: CASO N° 2906014500-2019-7811-0, SOLICITA SE REMITA COPIAS CERTIFICADAS DEL EXPEDIENTE ADMINISTRATIVO QUE GENERO LA SOLICITUD DEL DENUNCIANTE JULIO CESAR LOAYZA YARIHUAMAN SOBRE EXPEDICION DE CERTIFICADO DE HOMOLOGACION. MINISTERIO PUBLICO	DIRECCION GENERAL DE FISCALIZACIONES Y SANCIONES EN COMUNICACIONES-(NUEVO-ROF)	OFICIO Nº 0159-2020-MTC/29.01 DE FECHA 24/01/2020.

SE REMITE PARA CONOCIMIENTO/CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/04 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014504-2019-1739-1734-0/INVESTIGADO EUCLIDES SANTA CRUZMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

UNIDAD EJECUTORA N °009: SOLICITA VALIDAR PERIODOS DE APORTES AL FONAVI DEL SR. GONZALES ALVINAGORTA RICARDO MINISTERIO DE ECONOMIA Y FINANZAS	OFICINA GENERAL DE GESTION DE RECURSOS HUMANOS-(NUEVO-ROF)	NULL

CONDUCCIÓN ESTADO DE EBRIEDAD O DROGADICCIÓN/01 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014501-2020-187-0/INVESTIGADO PERCY ROMERO MENDOZAMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

SOLICITA ATENCIÓN A LAS MEDIDAS LEGALES Y PROCEDIMIENTOS REGULADOS EN LA LEY N°30737 MINISTERIO DE ECONOMIA Y FINANZAS	DESPACHO VICEMINISTERIAL DE TRANSPORTES	NULL

DEVOLUCIÓN DE SUMA DINERARIA A FAVOR DEL MTCMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

SOLICITA REMITIR RECORD DE FALTAS DE TRANSITO INFRINGIDAS POR EL CIUDADANO WHILMAN GARCIA SALAZAR/CASO N° 2006014503-2019-296-0/TERCERA FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCOMINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

NOTIFICA DISPOSICIÓN N° 02-2020,REFERENTE AL CASO N° 3006014501-2019-2282-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

LA PRIMERA FISCALIA PROVINCIAL PENAL DE CHORILLOS: SOLICITA INFORMA SI EL SR. CROSSBY GUILLET LOPEZ ROMERO REGISTRA EN SU BASE DE DATOS CON LICENCIA DE CONDUCIR.MINISTERIO PUBLICO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	ATENDIDO.

REMITE DISPOSICIÓN N° 02, ABSTENCIÓN DEL EJERCICIO DE LA ACCIÓN PENAL (CASO NRO. 2506014504-2019-2375)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

NOTIFICA DISPOSICIÓN N° 02, REFERENTE AL CASO N° 3006074500-2019-675-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REF: OFICIO N °027-2020-MTC/09, EN RESPUESTA A SOLICITUD DE OPINION FAVORABLE DE LA DIRECCION GENERAL DE PRESUPUESTO PUBLICO PARA EFECTUAR MODIFICACIONES PRESUPUESTALES ENTRE PROYECTOS. REMITEN LO SOLICITADOMINISTERIO DE ECONOMIA Y FINANZAS	OFICINA GENERAL DE PLANEAMIENTO Y PRESUPUESTO	NULL

REMITE COPIA DEL EXP. 20-0001575 DE IDELSO COTRINA ESCALANTE ALCALDE DE LA MUNIC. DISTRITAL DE JOSE GALVEZ, CAJAMARCA, EL CUAL SOLICITA ASISTENCIA PARA REHABILITACIÓN DE VÍAS DE ACCESO Y COMUNICACIÓN EN EL DISTRITOPCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE BRINDÓ ATENCIÓN MEDIANTE CARTA F NRO. 190-2020-MTC/21.OPP DIRIGIDA AL ALCALDE DE LA MUNICIPALIDAD DISTRITAL DE JOSÉ GALVEZ - CAJAMARCA REF. EXP. E012002408 Y H.R MTC E-025806-2020

UNIDAD EJECUTORA N °009: SOLICITA VALIDAR PERIODOS DE APORTES AL FONAVI DEL SR. GARATE PAREDES RAIMUNDOMINISTERIO DE ECONOMIA Y FINANZAS	OFICINA GENERAL DE GESTION DE RECURSOS HUMANOS-(NUEVO-ROF)	NULL

REMITE DISPOSICIÓN N° 03-2019, ABSTENCIÓN DEL EJERCICIO DE LA ACCIÓN PENAL (CARPETA FISCAL N° 2506014503-2019-245-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE COPIAS SIMPLES DE LA PIEZAS PRINCIPALES , REFERENTE AL CASO N° 2492-2019MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

TRASLADA SOLICITUD DE LA SUBPREFETURA DISTRITAL DE SUCRE, CAJAMARCA. QUIEN SOLICITA ASISTENCIA PARA ELABORACIÓN DE EXPEDIENTES TÉCNICOS DE PROYECTOS DE MEJORA DE INFRAESTRUCTURA VIAL.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE DIO RESPUESTA CON EL OFICIO DE LA REFERENCIA A LA SUPREFECTO DISTRITAL DE SUCRE

TRASLADA SOLICITUD DE LA MUNICIPALIDAD PROVINCIAL DE CELENDÍN, CAJAMARCA. QUIEN SOLICITA EJCUCIÓN DE PROYECTO DE MEJORA DE INFRAESTRUCTURA VIAL QUE CONECTE LAS LOCALIDADES.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE DIO RESPUESTA CON EL OFICIO DE LA REFERENCIA A LA MUNICIPALIDAD PROVINCIAL DE CELENDIN 

TRASLADA SOLICITUD DE LA SRA. PATRICIA PANCORBO HUARCAYA, CUSCO. QUIEN SOLICITA SE INVESTIGUE Y SANCIONE A EMPRESA DE TRANSPORTE TERRESTRE Y A LOS RESPONSABLES DEL ACCIDENTE DE TRANSITO OCURRIDO EL DÍA 01 DE OCTUBRE DE 2019, TRAYECTO CUSCO - PUETO MALDONADO.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	HR SE ENVIA A: SUTRAN PARA INFORME / PREPARAR RESPUESTA.

TRASLADA EL EXP. 20-0001678 DE VIVIANA NAVARRO AMORIN EL CUAL SOLICITA CAMBIO DE UNIDAD EJECUTORA DEL PROYECTO DE MEJORA Y AMPLIACIÓN DE INFRAESTRUCTURA VIAL QUE CONECTA LAS LOCALIDADES DEL DISTRITO DE SAN ANTONIO DE CACHI APURIMAC.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE BRINDÓ ATENCIÓN MEDIANTE CARTA F N° 117-2020-MTC/21.OPP DIRIGIDA A VIVIANA NAVARRO AMORIN - LIMA - REF EXP PVD E 012002406 

REMITE PROVIDENCIA N° 01, ABSTENCIÓN DE EJERCITAR LA ACCIÓN PENAL (CASO NRO. 2506014508-2019-2740-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

FISCALÍA PROVINCIAL PENAL CORPORATIVA DE TARMA. CASO N°2206094500-2019-1921-0, REMITE DISPOSICIÓN N°01-2019 EN DELITO DE HURTO AGRAVADO DE ESPECTRO RADIOELÉCTRICO MINISTERIO PUBLICO	DIRECCION GENERAL DE FISCALIZACIONES Y SANCIONES EN COMUNICACIONES-(NUEVO-ROF)	SE ATENDIÓ CON OFICIO N° 096-2020-MTC/29.03

CONVOCAN A REUNION PREPARATORIA CASO AYACUCHO SUR. SE LLEVARA A CABO EL 28.01.2020. PCM	OFICINA DE DIALOGO Y GESTION SOCIAL-(NUEVO-ROF)	NULL

SOLICITA INFORMACIÓN , SI SE ENCUENTRAN REGISTRADOS COMO TITULARES O SOCIOS DE EMPRESAS DE TRANSPORTE.MINISTERIO PUBLICO	DIRECCION GENERAL DE AUTORIZACIONES EN TRANSPORTES-(NUEVO-ROF)	SE FINALIZA VIRTUALMENTE CON CARGO DE NOTIFICACIÓN DEL OFICIO 2597-2020-MTC/17.02.

5TA FPPCC-CALLAO/ SOLICITA COPIA CERTIFICADA DE LOS CARGOS DE NOTIFICACIÓN DIRIGIDOS A RAFAEL BARBARAN, EN RELACIÓN A LA RESOLUCIÓN DE SANCIÓN N° 17605600036257. MINISTERIO PUBLICO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE ATENDIO.

SE REMITE PARA CONOCIMIENTO/DELITO DE PELIGRO COMÚN/02 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014502-2020-55-0/INVESTIGADO SILVER ALAHOS ORTEGA AYALA MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

PARA CONOCIMIENTO Y FINES TRASLADA CARTA S/N DE RAUL EGUSQUIZA MORILLO, REMITE COPIA DE LA CARTA AL MTC SOLICITAN INTERVENCION ANTE CORPAC SA. + ADJUNTA 01 CDPCM	SECRETARIA GENERAL	"JORGE CHAVEZ CATERIANO

GERENTE GENERAL CORPAC"

NOTIFICA DISPOSICIÓN N° 01, REFERENTE AL CASO N° 3006014504-2020-64-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

UNIDAD EJECUTORA N° 009: SOLICITA VALIDAR PERIODOS DE APORTES AL FONAVI DEL SR. ENCISO FABIAN LEONIDASMINISTERIO DE ECONOMIA Y FINANZAS	OFICINA GENERAL DE GESTION DE RECURSOS HUMANOS-(NUEVO-ROF)	NULL

BANDEJA DIGITAL: OTROS - PRESUPUESTO INICIAL DE APERTURA (PIA) - SOLICITO COPIA DEL OFICIO NRO 1008-2015-MTC/10.05MINISTERIO DE ECONOMIA Y FINANZAS	OFICINA DE PATRIMONIO	ATENDIDO  MEDIANTE CORREO ELECTRÓNICO DE FECHA  06/02/2020

NOTIFICA DISPOSICIÓN N° 03-2020, REFERENTE AL CASO N° 3006064501-2019-2371-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

UNIDAD EJECUTORA N° 009: SOLICITA VALIDAR PERIODOS DE APORTES AL FONAVI DEL SR. TORRES MENDOZA DAVID ANTONIOMINISTERIO DE ECONOMIA Y FINANZAS	OFICINA GENERAL DE GESTION DE RECURSOS HUMANOS-(NUEVO-ROF)	NULL

NOTIFICA DISPOSICIÓN N° 01, REFERENTE AL CASO N° 3006064501-2020-269-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

NOTIFICA DISPOSICIÓN N° 03-2020, REFERENTE AL CASO N° 3006064501-2020-193-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE OFICIO N°048-2020-MPSC/A DE LA MUNICIPALIDAD PROVINCIAL DE SAN CRUZ, REGISTRADO CON 20-0002594PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE ATENDIO CON OFIC-000207-2020-MTC/20 A LA MUNICIPALIDAD PROVINCIAL DE SANTA CRUZ

NOTIFCA DISPOSICIÓN N°01, REFERENTE AL CASO N° 3006064501-2020-31-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

UNIDAD EJECUTORA N °009: SOLICITA VALIDAR PERIODOS DE APORTES AL FONAVI DE LA SRA. RAMOS LEON DE HUERTA BERTHAMINISTERIO DE ECONOMIA Y FINANZAS	OFICINA GENERAL DE GESTION DE RECURSOS HUMANOS-(NUEVO-ROF)	NULL

REMITE DISPOSICIÓN NÚMERO UNO, ABSTENCIÓN DE LA ACCIÓN PENAL (CASO NRO. 2506014502-2020-296-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

SOLICITA INFORMACIÓN DE LO QUE SE INDICA MINISTERIO PUBLICO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE ATENDIÓ CON OFICIO N°0876-2020-MTC/16

REITERA SOLICITUD  (E-412526-2019) DEL SR. HECTOR ORLANDO REQUEJO LONGINOTE ALCALDE DE LA MUNIC. PROVINCIAL DE CONDORCANQUI AMAZONAS QUIEN SOLICITA EJECUCIÓN DE PROYECTO DE MEJORA DE INFRAESTRUCTURA VIAL.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE BRINDÓ  ATENCIÓN MEDIANTE CARTA F N° 088-2020-MTC/21.OPP DIRIGIDA AL ALCALDE DE LA MUNICIPALIDAD PROVINCIAL DE CONDORCANQUI - AMAZONAS - EXP. PVD E012003272 / H.R MTC E-035105-2020 - E-412526-2020

SOLICITA INFORMACIÓN SI LA PERSONA FIGUEREDO SIMON EDSON CUENTA CON LICENCIA DE CONDUCIR/01 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE PACHITEA/CASO N°009-2020MINISTERIO PUBLICO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	ATENDIDO.

REMITE COPIA DEL EXP. 20200002033 DEL SR. ELVIS ERKAMAN MENDOZA AGUILAR-PRESIDENTE DE LA ASOCIACIÓN NACIONAL DE AFOCAT´S, EL CUAL ALCANZA OBSERVACIONES Y PROPUESTAS A LA PUBLICACIÓN DE LA RESOLUCIÓN SBS N°5624-2019 PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	NULL

NOTIFICA DISPOSICIÓN N° 02, REFERENTE AL CASO N° 3006064501-2020-266-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

PARA CONOCIMIENTO Y FINES TRASLADAN OFICIO N° 000844-2020-DP/SSSG , DE LA MUNICIPALIDAD DISTRITAL DE LAGUNAS , SOLICITA SE REALICE VISITA AL PUEBLO LAGUNAS . PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE TOMO CONOCIMIENTO CON EL MEMO Nº 00373-20 MTC/21.GIE CON FECHA 12-02-2020

PARA CONOCIMIENTO Y FINES TRASLADA CARTA S/N DEL SR. RUBEN SERPA VALDEZ, SOLICITA REUBICACION LABORAL DE BENEFICIARIOS DE LA LEY N °30484 , ASIMISMO SOLICITA AUDIENCIA. PCM	SECRETARIA GENERAL	"RUBEN SERPA VALDEZ - SECRETARIO GENERAL NACIONAL - ASOCIACION DE PROFESIONALES Y TECNICOS NACIONALISTAS DEL PERU - ASPROTENAC.

CC. A: SUBSECRETARIA GENERAL DEL DESPACHO PRESIDENCIAL / SECRETARIA DE COORDINACION DE LA PCM."

NOTIFICA DISPOSICIÓN N°02, REFERENTE AL CASO N° 3006064501-2020-264-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

NOTIFICA DISPOSICIÓN N°01, REFERENTE AL CASO N°300606401-2020-28-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REMITE VOUCHER DE PAGO POR PRINCIPIO DE OPORTUNIDAD , REFERENTE A CARPETA FISCAL N° 278-2020MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

REQUERIMIENTO DE INFORMACIÓNCONTRALORIA GENERAL DE LA REPUBLICA	PROYECTO JUEGOS PANAMERICANOS 2019 - DIRECCIÓN EJECUTIVA	SE ENVIÓ A LA CONTRALORIA GENERAL DE LA REPUBLICA 

